,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindSpeed10m,Zenith,pv
0,0.492,0.271,1.113,0.0,0.0,0.049,0.0,0.0,0.763,1.17,0.0,0.278,0.0,0.062
1,0.537,0.318,1.05,0.055,0.0,0.186,0.421,0.339,0.886,1.37,0.149,0.0,0.0,0.219
2,0.442,0.558,0.414,0.0,0.0,0.299,0.69,0.272,0.977,1.535,0.493,0.0,0.0,0.396
3,0.388,0.608,0.222,0.0,0.0,0.217,0.719,0.176,1.017,1.41,0.53,0.0,0.0,0.53
4,0.342,0.577,0.323,0.049,0.0,0.0,0.703,0.291,0.973,1.413,0.505,0.0,0.0,0.624
5,0.388,0.512,0.266,0.177,0.0,0.0,0.682,0.391,0.87,1.347,0.551,0.0,0.0,0.687
6,0.39,0.479,0.254,0.244,0.0,0.065,0.673,0.427,0.797,1.29,0.593,0.0,0.0,0.716
7,0.419,0.468,0.293,0.308,0.0,0.15,0.642,0.473,0.796,1.278,0.65,0.0,0.0,0.751
8,0.449,0.472,0.313,0.33,0.0,0.212,0.622,0.516,0.793,1.27,0.692,0.0,0.0,0.758
9,0.458,0.495,0.32,0.342,0.0,0.256,0.612,0.529,0.79,1.28,0.736,0.0,0.0,0.81
10,0.462,0.527,0.322,0.399,0.0,0.313,0.614,0.516,0.834,1.289,0.754,0.0,0.0,0.816
11,0.498,0.579,0.285,0.451,0.0,0.366,0.568,0.531,0.902,1.277,0.765,0.0,0.0,0.819
12,0.526,0.599,0.284,0.323,0.0,0.291,0.535,0.598,0.817,1.284,0.868,0.0,0.0,0.839
13,0.568,0.568,0.403,0.209,0.0,0.21,0.715,0.576,0.757,1.385,0.988,0.0,0.0,0.816
14,0.627,0.579,0.458,0.485,0.0,0.356,1.05,0.441,0.974,1.456,0.945,0.0,0.0,0.824
15,0.534,0.68,0.367,0.734,0.0,0.48,1.105,0.457,1.014,1.349,0.831,0.0,0.0,0.844
16,0.423,0.622,0.399,0.461,0.0,0.484,0.92,0.564,0.777,1.174,0.637,0.253,0.0,0.801
17,0.539,0.506,0.549,0.224,0.0,0.519,0.859,0.556,0.772,1.024,0.4,0.31,0.0,0.796
18,0.646,0.507,0.6,0.244,0.0,0.495,0.9,0.501,1.026,1.04,0.345,0.239,0.0,0.736
19,0.667,0.483,0.611,0.246,0.0,0.458,0.905,0.53,1.087,1.049,0.266,0.317,0.0,0.661
20,0.644,0.436,0.625,0.202,0.0,0.441,0.888,0.583,1.038,1.004,0.192,0.343,0.0,0.617
21,0.686,0.41,0.629,0.19,0.0,0.433,0.87,0.58,1.044,0.959,0.175,0.333,0.0,0.612
22,0.701,0.36,0.664,0.204,0.0,0.481,0.81,0.613,1.123,0.944,0.228,0.322,0.0,0.509
23,0.569,0.496,0.563,0.196,0.0,0.379,0.829,0.654,1.181,0.969,0.289,0.65,0.0,0.381
24,0.46,0.711,0.542,0.337,0.0,0.393,0.881,0.313,1.173,1.154,0.265,0.578,0.0,0.383
25,0.405,0.422,0.565,0.951,0.0,1.008,0.927,0.234,0.955,1.421,0.719,0.0,0.0,0.197
26,0.933,0.188,0.45,0.836,0.0,1.147,0.828,0.254,0.531,1.473,0.906,0.0,0.0,0.083
27,0.44,0.624,1.155,0.0,0.0,0.268,0.0,0.0,0.554,1.416,0.0,0.342,0.0,0.059
28,0.425,0.552,1.204,0.145,0.0,0.473,0.501,0.158,0.908,1.833,0.284,0.0,0.0,0.22
29,0.207,0.461,0.561,0.0,0.0,0.461,0.961,0.23,1.165,1.886,0.487,0.003,0.0,0.389
30,0.36,0.57,0.274,0.0,0.0,0.47,0.952,0.321,1.111,1.487,0.428,0.0,0.0,0.531
31,0.447,0.723,0.468,0.0,0.0,0.259,0.777,0.228,1.044,1.382,0.471,0.0,0.0,0.614
32,0.478,0.649,0.52,0.083,0.0,0.234,0.692,0.336,0.862,1.384,0.462,0.014,0.0,0.688
33,0.447,0.578,0.545,0.195,0.0,0.353,0.741,0.448,0.763,1.36,0.483,0.0,0.0,0.739
34,0.461,0.59,0.519,0.254,0.0,0.412,0.735,0.463,0.766,1.366,0.547,0.0,0.0,0.784
35,0.436,0.6,0.46,0.285,0.0,0.417,0.692,0.459,0.785,1.39,0.62,0.0,0.0,0.816
36,0.395,0.592,0.429,0.32,0.0,0.437,0.671,0.464,0.791,1.419,0.698,0.0,0.0,0.773
37,0.37,0.604,0.407,0.4,0.0,0.498,0.67,0.454,0.855,1.415,0.723,0.0,0.0,0.832
38,0.375,0.671,0.365,0.466,0.0,0.574,0.611,0.443,0.931,1.397,0.703,0.0,0.0,0.821
39,0.373,0.713,0.417,0.351,0.0,0.534,0.559,0.49,0.838,1.393,0.781,0.0,0.0,0.78
40,0.375,0.691,0.596,0.263,0.0,0.511,0.709,0.479,0.768,1.493,0.872,0.0,0.0,0.757
41,0.418,0.696,0.661,0.565,0.0,0.687,1.014,0.389,0.996,1.549,0.824,0.0,0.0,0.707
42,0.304,0.805,0.553,0.803,0.0,0.803,1.058,0.436,1.075,1.437,0.719,0.0,0.0,0.697
43,0.212,0.78,0.573,0.521,0.0,0.766,0.842,0.548,0.88,1.253,0.536,0.299,0.0,0.727
44,0.356,0.675,0.721,0.299,0.0,0.762,0.765,0.532,0.888,1.11,0.315,0.319,0.0,0.699
45,0.48,0.674,0.795,0.356,0.0,0.736,0.811,0.49,1.136,1.136,0.278,0.238,0.0,0.706
46,0.524,0.632,0.794,0.391,0.0,0.703,0.824,0.543,1.178,1.16,0.22,0.318,0.0,0.659
47,0.528,0.56,0.79,0.355,0.0,0.693,0.825,0.597,1.129,1.13,0.163,0.346,0.0,0.631
48,0.575,0.536,0.8,0.325,0.0,0.676,0.824,0.58,1.13,1.082,0.153,0.34,0.0,0.645
49,0.575,0.503,0.862,0.344,0.0,0.71,0.762,0.636,1.224,1.046,0.211,0.337,0.0,0.569
50,0.494,0.662,0.713,0.412,0.0,0.58,0.73,0.748,1.348,1.063,0.347,0.661,0.0,0.478
51,0.494,0.95,0.636,0.67,0.0,0.627,0.755,0.374,1.39,1.279,0.375,0.617,0.0,0.314
52,0.369,0.62,0.804,1.427,0.0,1.244,0.722,0.142,1.019,1.635,0.767,0.0,0.0,0.174
53,1.042,0.136,0.813,1.158,0.0,1.443,0.641,0.218,0.501,1.821,1.159,0.0,0.0,0.065
54,0.564,0.62,1.422,0.0,0.0,0.39,0.0,0.0,1.136,1.351,0.0,0.449,0.0,0.03
55,0.753,0.679,1.459,0.062,0.0,0.75,0.575,0.524,1.249,1.506,0.189,0.0,0.0,0.133
56,0.581,0.744,0.687,0.0,0.0,0.555,0.86,0.373,1.235,1.817,0.355,0.148,0.0,0.239
57,0.468,0.776,0.149,0.0,0.0,0.477,0.926,0.195,0.991,1.717,0.417,0.0,0.0,0.362
58,0.38,0.779,0.331,0.052,0.0,0.275,0.925,0.15,0.938,1.556,0.577,0.0,0.0,0.478
59,0.357,0.641,0.373,0.125,0.0,0.245,0.883,0.323,0.825,1.458,0.586,0.0,0.0,0.591
60,0.409,0.588,0.426,0.185,0.0,0.337,0.873,0.443,0.78,1.347,0.606,0.0,0.0,0.669
61,0.477,0.635,0.479,0.243,0.0,0.405,0.847,0.472,0.787,1.31,0.639,0.0,0.0,0.765
62,0.511,0.707,0.52,0.285,0.0,0.462,0.789,0.476,0.761,1.301,0.654,0.0,0.0,0.826
63,0.502,0.731,0.579,0.324,0.0,0.514,0.732,0.479,0.71,1.314,0.675,0.0,0.0,0.829
64,0.488,0.708,0.577,0.407,0.0,0.56,0.711,0.511,0.733,1.326,0.694,0.0,0.0,0.771
65,0.5,0.71,0.451,0.464,0.0,0.562,0.672,0.575,0.828,1.312,0.737,0.0,0.0,0.79
66,0.52,0.721,0.323,0.33,0.0,0.415,0.64,0.643,0.795,1.306,0.896,0.0,0.0,0.824
67,0.549,0.693,0.357,0.212,0.0,0.283,0.799,0.589,0.775,1.397,1.054,0.0,0.0,0.835
68,0.602,0.703,0.4,0.515,0.0,0.415,1.106,0.442,1.025,1.447,1.028,0.0,0.0,0.806
69,0.508,0.798,0.33,0.783,0.0,0.544,1.132,0.475,1.078,1.331,0.918,0.0,0.0,0.818
70,0.417,0.727,0.383,0.522,0.0,0.55,0.928,0.607,0.855,1.15,0.716,0.264,0.0,0.827
71,0.548,0.597,0.541,0.306,0.0,0.574,0.869,0.612,0.876,0.988,0.468,0.317,0.0,0.745
72,0.669,0.584,0.584,0.337,0.0,0.534,0.911,0.566,1.147,0.988,0.408,0.279,0.0,0.691
73,0.706,0.547,0.565,0.337,0.0,0.486,0.915,0.603,1.21,0.975,0.32,0.386,0.0,0.664
74,0.706,0.476,0.561,0.285,0.0,0.473,0.895,0.652,1.183,0.918,0.24,0.409,0.0,0.539
75,0.771,0.44,0.578,0.264,0.0,0.453,0.882,0.653,1.207,0.854,0.209,0.419,0.0,0.46
76,0.797,0.39,0.632,0.271,0.0,0.497,0.83,0.684,1.291,0.824,0.26,0.431,0.0,0.468
77,0.689,0.56,0.545,0.24,0.0,0.398,0.846,0.741,1.323,0.848,0.33,0.804,0.0,0.476
78,0.589,0.807,0.536,0.394,0.0,0.408,0.834,0.354,1.303,1.096,0.278,0.692,0.0,0.377
79,0.493,0.518,0.554,0.983,0.0,0.988,0.879,0.271,1.041,1.462,0.777,0.0,0.0,0.252
80,1.051,0.262,0.47,0.741,0.0,1.133,0.856,0.237,0.628,1.548,0.928,0.03,0.0,0.11
81,0.659,0.54,1.334,0.0,0.0,0.248,0.0,0.0,0.741,1.216,0.0,0.346,0.0,0.051
82,0.829,0.477,1.332,0.145,0.0,0.484,0.589,0.405,0.837,1.539,0.208,0.0,0.0,0.215
83,0.575,0.502,0.552,0.024,0.0,0.298,1.004,0.265,0.946,1.793,0.346,0.124,0.0,0.396
84,0.479,0.563,0.111,0.007,0.0,0.198,1.064,0.157,0.814,1.661,0.43,0.0,0.0,0.531
85,0.379,0.529,0.3,0.096,0.0,0.08,0.963,0.181,0.736,1.521,0.568,0.0,0.0,0.623
86,0.392,0.388,0.385,0.202,0.0,0.051,0.873,0.392,0.655,1.396,0.572,0.0,0.0,0.692
87,0.434,0.344,0.394,0.255,0.0,0.1,0.844,0.479,0.644,1.344,0.6,0.0,0.0,0.739
88,0.522,0.366,0.407,0.305,0.0,0.152,0.81,0.483,0.67,1.345,0.65,0.0,0.0,0.776
