,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindSpeed10m,Zenith,pv
0,0.431,0.164,0.131,0.0,0.068,0.033,0.052,0.112,0.0,0.037,0.0,0.132,0.027,0.002
1,0.29,0.062,0.179,0.0,0.069,0.076,0.134,0.358,0.013,0.067,0.002,0.338,0.222,0.046
2,0.092,0.184,0.101,0.0,0.191,0.247,0.096,0.427,0.029,0.099,0.093,0.308,0.379,0.147
3,0.071,0.274,0.128,0.0,0.208,0.137,0.087,0.581,0.162,0.11,0.162,0.01,0.399,0.324
4,0.0,0.313,0.177,0.0,0.199,0.125,0.112,0.461,0.321,0.048,0.256,0.0,0.36,0.395
5,0.045,0.285,0.25,0.0,0.182,0.224,0.121,0.307,0.436,0.065,0.165,0.027,0.397,0.382
6,0.073,0.258,0.241,0.0,0.204,0.189,0.138,0.34,0.399,0.059,0.146,0.026,0.451,0.42
7,0.08,0.231,0.25,0.0,0.202,0.177,0.103,0.335,0.375,0.073,0.153,0.007,0.453,0.477
8,0.106,0.218,0.276,0.0,0.186,0.186,0.088,0.361,0.364,0.061,0.154,0.011,0.449,0.443
9,0.116,0.21,0.295,0.0,0.181,0.187,0.089,0.376,0.36,0.061,0.178,0.026,0.443,0.461
10,0.138,0.223,0.317,0.011,0.174,0.195,0.103,0.39,0.351,0.085,0.183,0.028,0.415,0.46
11,0.152,0.238,0.306,0.0,0.159,0.195,0.145,0.331,0.283,0.158,0.129,0.105,0.49,0.451
12,0.078,0.23,0.299,0.0,0.221,0.127,0.119,0.36,0.282,0.211,0.081,0.104,0.614,0.464
13,0.069,0.204,0.189,0.0,0.231,0.171,0.176,0.395,0.353,0.126,0.141,0.012,0.623,0.502
14,0.093,0.203,0.247,0.0,0.35,0.368,0.39,0.426,0.134,0.016,0.133,0.199,0.431,0.48
